,ymin,xmin,ymax,xmax
0,-0.023684211,-0.023684211,0.07631579,0.07631579
1,-0.04439489,-0.11510557,0.09702647,0.16773716
2,-0.11510557,-0.04439489,0.16773716,0.09702647
3,-0.023684211,0.028947365,0.07631579,0.12894736
4,-0.04439489,-0.062473997,0.09702647,0.22036873
5,-0.11510557,0.008236684,0.16773716,0.14965805
6,-0.023684211,0.081578955,0.07631579,0.18157895
7,-0.04439489,-0.009842411,0.09702647,0.2730003
8,-0.11510557,0.06086827,0.16773716,0.20228964
9,-0.023684211,0.13421053,0.07631579,0.23421052
10,-0.04439489,0.04278916,0.09702647,0.3256319
11,-0.11510557,0.11349984,0.16773716,0.2549212
12,-0.023684211,0.18684211,0.07631579,0.2868421
13,-0.04439489,0.09542075,0.09702647,0.37826347
14,-0.11510557,0.16613144,0.16773716,0.30755278
15,-0.023684211,0.23947369,0.07631579,0.3394737
16,-0.04439489,0.14805232,0.09702647,0.43089503
17,-0.11510557,0.218763,0.16773716,0.36018437
18,-0.023684211,0.29210523,0.07631579,0.39210525
19,-0.04439489,0.20068388,0.09702647,0.4835266
20,-0.11510557,0.27139455,0.16773716,0.41281593
21,-0.023684211,0.3447368,0.07631579,0.44473684
22,-0.04439489,0.25331545,0.09702647,0.5361582
23,-0.11510557,0.32402614,0.16773716,0.46544752
24,-0.023684211,0.3973684,0.07631579,0.49736843
25,-0.04439489,0.30594707,0.09702647,0.58878976
26,-0.11510557,0.37665772,0.16773716,0.5180791
27,-0.023684211,0.45,0.07631579,0.55
28,-0.04439489,0.35857862,0.09702647,0.6414214
29,-0.11510557,0.4292893,0.16773716,0.57071066
30,-0.023684211,0.5026316,0.07631579,0.6026316
31,-0.04439489,0.41121024,0.09702647,0.694053
32,-0.11510557,0.48192093,0.16773716,0.6233423
33,-0.023684211,0.55526316,0.07631579,0.6552632
34,-0.04439489,0.4638418,0.09702647,0.74668455
35,-0.11510557,0.5345525,0.16773716,0.67597383
36,-0.023684211,0.6078947,0.07631579,0.70789474
37,-0.04439489,0.51647335,0.09702647,0.7993161
38,-0.11510557,0.5871841,0.16773716,0.7286054
39,-0.023684211,0.66052634,0.07631579,0.76052636
40,-0.04439489,0.56910497,0.09702647,0.8519477
41,-0.11510557,0.6398157,0.16773716,0.781237
42,-0.023684211,0.7131579,0.07631579,0.8131579
43,-0.04439489,0.6217365,0.09702647,0.9045793
44,-0.11510557,0.69244725,0.16773716,0.83386856
45,-0.023684211,0.7657895,0.07631579,0.86578953
46,-0.04439489,0.67436814,0.09702647,0.9572109
47,-0.11510557,0.74507886,0.16773716,0.8865002
48,-0.023684211,0.81842107,0.07631579,0.9184211
49,-0.04439489,0.7269997,0.09702647,1.0098424
50,-0.11510557,0.7977104,0.16773716,0.93913174
51,-0.023684211,0.8710526,0.07631579,0.97105265
52,-0.04439489,0.77963126,0.09702647,1.062474
53,-0.11510557,0.850342,0.16773716,0.9917633
54,-0.023684211,0.92368424,0.07631579,1.0236843
55,-0.04439489,0.8322629,0.09702647,1.1151056
56,-0.11510557,0.9029736,0.16773716,1.044395
57,0.028947365,-0.023684211,0.12894736,0.07631579
58,0.008236684,-0.11510557,0.14965805,0.16773716
59,-0.062473997,-0.04439489,0.22036873,0.09702647
60,0.028947365,0.028947365,0.12894736,0.12894736
61,0.008236684,-0.062473997,0.14965805,0.22036873
62,-0.062473997,0.008236684,0.22036873,0.14965805
63,0.028947365,0.081578955,0.12894736,0.18157895
64,0.008236684,-0.009842411,0.14965805,0.2730003
65,-0.062473997,0.06086827,0.22036873,0.20228964
66,0.028947365,0.13421053,0.12894736,0.23421052
67,0.008236684,0.04278916,0.14965805,0.3256319
68,-0.062473997,0.11349984,0.22036873,0.2549212
69,0.028947365,0.18684211,0.12894736,0.2868421
70,0.008236684,0.09542075,0.14965805,0.37826347
71,-0.062473997,0.16613144,0.22036873,0.30755278
72,0.028947365,0.23947369,0.12894736,0.3394737
73,0.008236684,0.14805232,0.14965805,0.43089503
74,-0.062473997,0.218763,0.22036873,0.36018437
75,0.028947365,0.29210523,0.12894736,0.39210525
76,0.008236684,0.20068388,0.14965805,0.4835266
77,-0.062473997,0.27139455,0.22036873,0.41281593
78,0.028947365,0.3447368,0.12894736,0.44473684
79,0.008236684,0.25331545,0.14965805,0.5361582
80,-0.062473997,0.32402614,0.22036873,0.46544752
81,0.028947365,0.3973684,0.12894736,0.49736843
82,0.008236684,0.30594707,0.14965805,0.58878976
83,-0.062473997,0.37665772,0.22036873,0.5180791
84,0.028947365,0.45,0.12894736,0.55
85,0.008236684,0.35857862,0.14965805,0.6414214
86,-0.062473997,0.4292893,0.22036873,0.57071066
87,0.028947365,0.5026316,0.12894736,0.6026316
88,0.008236684,0.41121024,0.14965805,0.694053
89,-0.062473997,0.48192093,0.22036873,0.6233423
90,0.028947365,0.55526316,0.12894736,0.6552632
91,0.008236684,0.4638418,0.14965805,0.74668455
92,-0.062473997,0.5345525,0.22036873,0.67597383
93,0.028947365,0.6078947,0.12894736,0.70789474
94,0.008236684,0.51647335,0.14965805,0.7993161
95,-0.062473997,0.5871841,0.22036873,0.7286054
96,0.028947365,0.66052634,0.12894736,0.76052636
97,0.008236684,0.56910497,0.14965805,0.8519477
98,-0.062473997,0.6398157,0.22036873,0.781237
99,0.028947365,0.7131579,0.12894736,0.8131579
100,0.008236684,0.6217365,0.14965805,0.9045793
101,-0.062473997,0.69244725,0.22036873,0.83386856
102,0.028947365,0.7657895,0.12894736,0.86578953
103,0.008236684,0.67436814,0.14965805,0.9572109
104,-0.062473997,0.74507886,0.22036873,0.8865002
105,0.028947365,0.81842107,0.12894736,0.9184211
106,0.008236684,0.7269997,0.14965805,1.0098424
107,-0.062473997,0.7977104,0.22036873,0.93913174
108,0.028947365,0.8710526,0.12894736,0.97105265
109,0.008236684,0.77963126,0.14965805,1.062474
110,-0.062473997,0.850342,0.22036873,0.9917633
111,0.028947365,0.92368424,0.12894736,1.0236843
112,0.008236684,0.8322629,0.14965805,1.1151056
113,-0.062473997,0.9029736,0.22036873,1.044395
114,0.081578955,-0.023684211,0.18157895,0.07631579
115,0.06086827,-0.11510557,0.20228964,0.16773716
116,-0.009842411,-0.04439489,0.2730003,0.09702647
117,0.081578955,0.028947365,0.18157895,0.12894736
118,0.06086827,-0.062473997,0.20228964,0.22036873
119,-0.009842411,0.008236684,0.2730003,0.14965805
120,0.081578955,0.081578955,0.18157895,0.18157895
121,0.06086827,-0.009842411,0.20228964,0.2730003
122,-0.009842411,0.06086827,0.2730003,0.20228964
123,0.081578955,0.13421053,0.18157895,0.23421052
124,0.06086827,0.04278916,0.20228964,0.3256319
125,-0.009842411,0.11349984,0.2730003,0.2549212
126,0.081578955,0.18684211,0.18157895,0.2868421
127,0.06086827,0.09542075,0.20228964,0.37826347
128,-0.009842411,0.16613144,0.2730003,0.30755278
129,0.081578955,0.23947369,0.18157895,0.3394737
130,0.06086827,0.14805232,0.20228964,0.43089503
131,-0.009842411,0.218763,0.2730003,0.36018437
132,0.081578955,0.29210523,0.18157895,0.39210525
133,0.06086827,0.20068388,0.20228964,0.4835266
134,-0.009842411,0.27139455,0.2730003,0.41281593
135,0.081578955,0.3447368,0.18157895,0.44473684
136,0.06086827,0.25331545,0.20228964,0.5361582
137,-0.009842411,0.32402614,0.2730003,0.46544752
138,0.081578955,0.3973684,0.18157895,0.49736843
139,0.06086827,0.30594707,0.20228964,0.58878976
140,-0.009842411,0.37665772,0.2730003,0.5180791
141,0.081578955,0.45,0.18157895,0.55
142,0.06086827,0.35857862,0.20228964,0.6414214
143,-0.009842411,0.4292893,0.2730003,0.57071066
144,0.081578955,0.5026316,0.18157895,0.6026316
145,0.06086827,0.41121024,0.20228964,0.694053
146,-0.009842411,0.48192093,0.2730003,0.6233423
147,0.081578955,0.55526316,0.18157895,0.6552632
148,0.06086827,0.4638418,0.20228964,0.74668455
149,-0.009842411,0.5345525,0.2730003,0.67597383
150,0.081578955,0.6078947,0.18157895,0.70789474
151,0.06086827,0.51647335,0.20228964,0.7993161
152,-0.009842411,0.5871841,0.2730003,0.7286054
153,0.081578955,0.66052634,0.18157895,0.76052636
154,0.06086827,0.56910497,0.20228964,0.8519477
155,-0.009842411,0.6398157,0.2730003,0.781237
156,0.081578955,0.7131579,0.18157895,0.8131579
157,0.06086827,0.6217365,0.20228964,0.9045793
158,-0.009842411,0.69244725,0.2730003,0.83386856
159,0.081578955,0.7657895,0.18157895,0.86578953
160,0.06086827,0.67436814,0.20228964,0.9572109
161,-0.009842411,0.74507886,0.2730003,0.8865002
162,0.081578955,0.81842107,0.18157895,0.9184211
163,0.06086827,0.7269997,0.20228964,1.0098424
164,-0.009842411,0.7977104,0.2730003,0.93913174
165,0.081578955,0.8710526,0.18157895,0.97105265
166,0.06086827,0.77963126,0.20228964,1.062474
167,-0.009842411,0.850342,0.2730003,0.9917633
